ParticipantID,edu,eduother,engnative,engyrs,politics,religion,age,ethnicity,gender,comments,VICTIM_PERP,Condition,tainted,harmed,disobeyed,resilience,Blame
R_XAiBarvvmE9hyA9,4, ,1, ,2,6,59,US,2,no,p,partial,3,0,0,4,7
R_2YYfw4Diand2JfW,4, ,1, ,1,7,59,white,2,no,p,partial,4,1,1,4,7
R_1gvXhiaYtpsRexM,2, ,1, ,2,5,59,white,2, ,p,temporar,1,0,2,3,7
R_DIGgGFfD5Pbmo6t,3, ,1, ,7,1,59,white,2,No,p,temporar,3,0,0,2,7
R_3DpAbN3j8OWYbSI,2, ,1, ,3,3,59,White,2,No,v,continuo,0,4,4,4,0
R_1I6O1emUQeHWccj,3, ,1, ,6,1,59,White,2,none,v,contagio,5,6,7,5,0
R_QcvR5Q4rAn86tEZ,4, ,1, ,2,7,59,white,2,none,v,partial,0,4,6,3,0
R_2AHlhQmbV115471,1, ,1, ,5,5,59,white,2, ,v,temporar,1,7,7,5,0
R_3CPFfQ7fh8THqWo,3, ,1, ,6,5,59,white,2,N/A,v,temporar,0,7,7,4,0
R_1FRkCQx2UezZ872,3, ,2,12,3,2,59,White,2, ,v,temporar,4,6,5,2,2
R_12D4GiGF7l0mMfP,3, ,1, ,6,1,58,white,2,no,p,continuo,0,0,0,4,5
R_3rGrb3wirIf9LHk,2, ,1, ,4,5,58,american,2, ,p,contagio,1,1,1,3,5
R_ZfwA93kcmNO0hHz,3, ,1, ,3,3,58,white,2,no,p,isolate,3,0,0,4,7
R_2CN76EQnvYkaASF,7, ,1, ,5,2,58,CAUCASIAN,2, ,p,isolate,0,0,1,2,7
R_3dZbUMXkReYxt6a,4, ,1, ,4,5,58,white,2, ,p,isolate,1,3,2,0,6
R_1dlPYRGWntExl6B,3, ,1, ,3,6,58,Caucasian,2, ,p,partial,6,2,5,3,7
R_273xNGLWgUAzuIs,4, ,1, ,6,6,58,White,2,Wasn't sure I understood the part about Kim going back to how she used to be. Used to be before the mugging? Or back to her criminal behavior. Confusing.,p,temporar,1,1,1,5,6
R_3CEkOxTntglCqV4,3, ,1, ,5,3,58,American,2,thank you.,p,temporar,0,0,0,3,5
R_2AHixAxl42kVUOj,4, ,1, ,2,6,58,White non spanish,2,no,p,temporar,1,1,1,2,7
R_ZajflJdPt6U9V97,6, ,1, ,6,6,58,white,2, ,p,complete,1,1,1,6,6
R_tMTAp1taXcQj99n,3, ,1, ,4,2,58,white,2,NO,p,complete,6,0,0,0,7
R_25uQJqhX4U3eT6T,4, ,1, ,6,1,58,white,2,no,v,continuo,0,6,7,3,0
R_1H00ZZyWkEho0yy,4, ,1, ,3,3,58,Caucasian,2,Thanks,v,continuo,4,6,7,2,0
R_3hEf7MxlSH0VDls,3, ,1, ,7,1,58,White,2,I'm guessing this has an alternate scenario in which Kim is raped.,v,continuo,0,5,7,2,0
R_OwDScDoHisLtI4x,3, ,1, ,6,7,58,Black,2,No.,v,contagio,6,7,7,7,0
R_e4NhzzPtoTUPK4p,3, ,1, ,4,7,58,american,2,no,v,isolate,6,7,7,5,0
R_3kAp7UmOBt52Jkh,3, ,1, ,4,2,58,African American,2, ,v,isolate,7,7,7,4,0
R_1QAE7zAp04FAGNA,5, ,1, ,3,6,58,White,2,no,v,partial,4,6,6,4,0
R_23eQHz8EZZdaXrw,4, ,1, ,6,4,58,white/western European,2,no,v,temporar,6,6,7,4,0
R_3KOe5fP8lAvy27X,4, ,1, ,4,6,58,Slavic,2,"No comments, but thanks for asking.",v,complete,3,6,1,5,0
R_wRHphxstGK3UHgl,5, ,1, ,2,6,58,white,2,no,v,complete,6,6,6,4,0
R_11YCPAel6hXQJ8i,2, ,1, ,7,5,58,Caucasian,2,none,v,complete,2,6,6,2,0
R_1eLQsY671WwRtTN,3, ,1, ,3,5,57,white,2,none thank you,p,continuo,1,1,1,4,7
R_aagrS5QC6Q3WjzH,4, ,1, ,7,1,57,African American,2,Thank you!,p,contagio,6,2,1,5,6
R_1n7TdP8isA7H6nG,8,Vocational Tech School,1, ,2,5,57,American,2, ,p,partial,3,3,0,4,7
R_1LM8vJsOJzH2z8S,5, ,1, ,6,1,57,White,2,It is a bit annoying to be asked to past my mTurk worker ID at the end of the survey,p,partial,4,2,5,4,6
R_2zUtIArPw5g5DK5,4, ,1, ,2,6,57,white,2,none,p,partial,0,7,4,2,0
R_tJxQF0i6eFtbPYB,4, ,1, ,2,7,57,Caucasian,2,"No, thanks.",v,contagio,0,7,7,6,0
R_3spPQlWSGEqiMC9,4, ,1, ,3,5,57,white,2, ,v,isolate,4,6,7,5,0
R_1fmfB6bcklpunin,3, ,1, ,2,1,57,white,2, ,v,isolate,0,4,0,3,0
R_1pxPlJKQBQOKzCr,3, ,1, ,6,7,57,White,2, ,v,partial,1,6,6,5,0
R_2dL4QblTRkeWV3z,2, ,1, ,5,3,57,Caucasian,2,thank you,v,temporar,5,6,5,4,0
R_1rMo1H6m59qHVta,4, ,1, ,2,6,57,black,2,none,v,complete,3,7,7,7,0
R_sS7IespDBDk6wbT,3, ,1, ,1,6,56,black,2, ,p,continuo,0,0,0,4,7
R_1r2luVPlvYrIGAl,3, ,1, ,4,6,56,caucasion,2,no,p,continuo,2,2,2,2,6
R_2WwfpTpv71xnili,3, ,1, ,4,5,56,Caucasian,2, ,p,isolate,6,0,0,5,7
R_2xY5yfm6yWphBHK,5, ,1, ,4,5,56,caucasion,2, ,p,isolate,2,2,2,4,7
R_2pPsC1rOB44f5H3,2, ,1, ,5,1,56,White,2,no,p,partial,1,0,0,4,7
R_2WTMO6MvRmpUbpV,3, ,1, ,5,1,56,USA,2,no,p,temporar,5,5,3,4,4
R_W0rDgkoqI167OXT,3, ,1, ,5,5,56,White/Caucasian,2, ,p,complete,3,1,2,4,6
R_20MwPJ5IrQ6Jthu,4, ,1, ,2,7,56,White,2,No,v,continuo,7,6,7,4,0
R_1ILw2YMW4PtC5db,5, ,1, ,7,6,56,Caucasian,2,N/A,v,contagio,0,4,7,4,0
R_OlZHCIAZkKWyaAx,4, ,1, ,1,6,56,Caucasian,2,no,v,isolate,5,7,7,3,0
R_2qELiUKJto2el57,3, ,2,12,4,4,56,White,2, ,v,partial,3,4,3,4,0
R_2V1JgmdzK4Jx1b3,3, ,1, ,2,5,56,African American/Black,2,Thank you.,v,partial,1,7,7,5,0
R_2SowzqvVWI0Ul6u,4, ,1, ,1,5,56,white,2,I think she had PTSD which would be normal after such a scary situation,v,partial,7,7,6,5,0
R_1QufaLIEC0UeXbl,4, ,1, ,2,5,56,white,2,no,v,temporar,7,7,7,0,0
R_3HMKx6qkkA8cS7h,2, ,1, ,1,6,56,African american,2, ,v,complete,6,4,0,4,0
R_4NvgS9s8iI1UXJL,5, ,1, ,2,6,56,White American,2,none,v,complete,5,6,5,3,0
R_3gRyHuizY6rtXcg,4, ,1, ,1,7,56,white,2, ,v,complete,6,7,7,2,0
R_25FozmBjgEKwtAG,4, ,1, ,4,6,55,White,2, ,p,continuo,1,1,1,5,0
R_3EKknBa9ufYUzv4,4, ,1, ,6,4,55,white,2,no,p,contagio,3,2,0,7,3
R_CfdGV57Bz0ImAil,5, ,1, ,2,6,55,Caucasian,2, ,p,contagio,0,0,0,1,7
R_w81htSUdnD1WYjD,4, ,1, ,6,5,55,White,2, ,p,isolate,0,0,0,4,7
R_2ghVSawuy1d5Ve1,4, ,1, ,2,7,55,African American,2,no,p,temporar,4,3,1,5,7
R_Zn57xydLK41dDLH,4, ,2,12,4,1,55,Asian,2, ,p,complete,5,5,5,4,5
R_r1iSCrezhGaJJRf,4, ,1, ,6,2,55,white,2,don't advertise a bonus and then not offer any,p,complete,2,4,1,2,6
R_2OHjmHWCklR4WmZ,4, ,1, ,2,1,55,white,2, ,p,complete,0,0,0,1,7
R_273XLGfMGTpPgoU,4, ,1, ,2,7,55,White,2,No,p,complete,0,0,0,0,7
R_3PFTE5F9X0IDqUf,3, ,1, ,3,5,55,white,2, ,v,continuo,5,6,3,4,1
R_r1LuUO8n5OQnxEl,5, ,1, ,4,3,55,Irish,2, ,v,continuo,0,6,5,3,1
R_2xE7LQjb5U3J2a5,7, ,1, ,6,1,55,White,2,The scenario was a bit too short on actual facts to really feel I could answer well.,v,continuo,5,6,6,2,0
R_2fEgEJ3dJX8tKH8,4, ,1, ,1,7,55,white,2,no,v,continuo,1,2,4,1,0
R_AA5wBrSFUJw7QR3,4, ,1, ,4,4,55,caucasian,2,Thanks!,v,contagio,5,7,6,5,0
R_3noLyOlb0t7x3hY,3, ,1, ,6,1,55,Caucasian,2,none thanks,v,contagio,0,5,7,4,0
R_32LY9XmjcqouK0C,4, ,1, ,3,6,55,White,2,No,v,isolate,0,6,6,7,0
R_2c25BGe0BDMkKWq,3, ,1, ,1,7,55,white,2,none,v,isolate,7,6,6,7,0
R_10qMkTnki6qF08G,4, ,1, ,6,5,55,bi-racial,2, ,v,isolate,4,6,1,5,0
R_2CjoEDg4JuCANt3,4, ,1, ,6,5,55,Caucasian,2,No thanks.,v,isolate, ,6,5,3,0
R_1JXdRZBFH3s3AmO,4, ,1, ,2,6,55,Caucasian,2, ,v,isolate,1,7,4,3,0
R_Y94VvM63X06h3ln,5, ,1, ,3,1,55,Caucasian,2, ,v,partial,6,5,7,4,0
R_2Y3MeGuPuPvLCiT,2, ,1, ,2,6,55,white,2, ,v,partial,1,6,6,4,0
R_OQdiARZArg5ihDr,3, ,1, ,6,1,55,"USA, white",2,"One question asked if Kim was disrespected or disobeyed. This strikes me as an odd question, as rape by its very nature is disrespectful. The only demand she might have made was some variation of ""Leave me alone"" or ""Stop!"", which (obviously) was not obeyd.  Was the question INTENDED to ask if she was being 'disrespectFUL' and 'disobedient'? [My responce, of course, would be that she most definately was NOT!]",v,partial,0,7,7,6,0
R_1Kp3IMQHVFa4Qpb,4, ,1, ,6,6,55,white,2,none,v,temporar,3,4,2,4,0
R_ebQG5jVwAN6gYDL,3, ,1, ,5,6,55,Black,2,Thanks,v,temporar,5,7,7,3,0
R_3n7am5VMrea0OXd,7, ,1, ,7,7,55,white,2,NO,v,complete,7,7,7,7,0
R_25uBgLLOCsScwX5,3, ,1, ,3,6,55,Caucasian,2, ,v,complete,3,2,7,1,0
R_blKcrgFUZco7eRX,2, ,1, ,4,4,54,American,2,NO,p,continuo,4,0,0,4,6
R_UuV1IdKNqQwO7Ch,3,SHE MAY HAVE NOT BEEN AWARE OF HER SURROUNDINGS,1, ,4,1,54,WHITE,2, ,p,contagio,5,7,7,6,1
R_3KVALYPY20Hw0SM,3, ,1, ,6,6,54,White,2, ,p,contagio,1,3,3,3,7
R_W8bZNc9QzE4TXO1,2, ,1, ,6,5,54,white,2, ,p,contagio,5,5,3,1,7
R_vGrIDPxVmiZpQfn,3, ,1, ,2,7,54,Caucasian,2,No additional comments - thanks,p,partial,4,2,4,3,7
R_325Sfo0eYCFQQSe,1, ,1, ,1,4,54,white,2,no,p,partial,0,0,0,0,7
R_2cnekVKG6YqtJV9,4, ,1, ,6,1,54,Caucasian,2, ,p,temporar,0,0,0,5,7
R_3lsOxCtsPe7JiMh,3, ,1, ,6,1,54,white,2, ,p,temporar,0,0,0,4,7
R_1pYf5KDH0qtlD2S,6, ,1, ,7,1,54,White,2,"Kim did the mugging, right?",p,temporar,5,2,1,3,5
R_2wi6Fvb5iHb0VaU,5, ,1, ,2,5,54,caucasian,2, ,p,temporar,1,1,0,0,4
R_1pLs51bLybUKEAq,7, ,1, ,5,1,54,White,2, ,p,complete,3,0,4,3,7
R_3g1m396tYZKdS7D,3, ,1, ,7,1,54,white,2, ,p,complete,0,0,0,3,7
R_pAAxWzgtlvoZxT3,4, ,1, ,4,1,54,caucasian,2,Kim mugged someone. Not Kim got mugged by someone is how I answered this survey.,p,complete,7,1,1,0,7
R_QmJAqMms6P8rqWl,2, ,1, ,4,1,54,white,2,no,v,continuo,3,3,3,3,0
R_31ibEnpFt1eupqZ,5, ,1, ,7,6,54,White,2, ,v,continuo,6,6,7,3,0
R_2wsgSVXuES0wNOi,5, ,1, ,2,6,54,Caucasian,2, ,v,contagio,0,7,7,5,0
R_3KqMEuNU3BeisyR,3, ,1, ,5,5,54,caucasian,2,no,v,contagio,1,5,7,4,0
R_51DIS2y32Zsj17j,3, ,1, ,2,4,54,white,2, ,v,isolate,2,4,0,7,0
R_3sBmVWGiP7cLSOR,3, ,1, ,6,2,54,white,2, ,v,isolate,5,5,0,4,0
R_tRmnTOaY7n5W7wl,2, ,1, ,3,5,54,white,2, ,v,isolate,5,6,5,3,0
R_3dKzQlHJv06dW2q,4, ,1, ,7,7,54,African American,2,no,v,partial,6,7,7,6,2
R_2TOfZ70Lx9NrSTo,3, ,1, ,4,5,54,white,2,no,v,temporar,6,7,7,5,0
R_3lyMGJ6vmr9yv3L,4, ,1, ,4,7,54,white,2,Thank you and good luck with your research!,v,temporar,2,5,2,2,0
R_XA4vqkrgvnVotG1,2, ,1, ,5,4,54,caucasian,2, ,v,complete,6,4,6,4,0
R_bvmeatQYmWEB9HH,3, ,1, ,4,5,54,Caucasian,2, ,v,complete,7,7,7,2,0
R_1qWmcoz1pJ10vsW,3, ,1, ,4,3,53,English American,2,"Because ""Kim"" received treatment after she mugged someone, I believe there may have been issues that might be viewed as factors that contributed to her assaulting(mugging) a person. Regardless, I believe she's 100% ""to blame"" for her behavior.",p,continuo,0,0,0,6,7
R_2atbTJLOKW4OiyW,6, ,1, ,6,2,53,caucasian,2, ,p,continuo,0,0,0,4,6
R_vZTPqpdMCPXt3KV,4, ,1, ,5,1,53,White,2,no,p,continuo,1,1,1,3,6
R_3HS17g4PuBWBdqs,4, ,1, ,6,1,53,White,2, ,p,contagio,1,0,0,5,7
R_3m7OV4w0fbdSTXF,4, ,1, ,5,5,53,Caucasian,2, ,p,contagio,0,1,0,3,5
R_1KlFKlrRpp1RP6Z,4, ,1, ,4,6,53,CAUCASIAN,2, ,p,partial,0,0,0,4,6
R_1jBcJn1SIhjgJSJ,4, ,1, ,6,5,53,white,2, ,p,partial,1,2,3,2,0
R_2QrpobMSuFB2c53,3, ,1, ,4,5,53,white,2,INTERESTING,p,temporar,3,6,5,4,0
R_T5837ZDviE0TdjX,4, ,1, ,3,1,53,Caucasian,2,Good luck with your research,p,temporar,4,1,1,3,7
R_2QxQ61yeVIAtWoo,2, ,1, ,4,6,53,white,2,no,p,temporar,6,7,1,3,7
R_3ixOwbjWqnSr0tl,3, ,1, ,6,5,53,white,2, ,p,complete,5,6,4,4,6
R_cIqRSddHwsvFq13,4, ,1, ,6,1,53,caucasian,2,none,p,complete,4,3,5,3,7
R_3L1JdQiEMYULz6d,4, ,1, ,3,7,53,white,2,NONE,p,complete,6,3,5,3,7
R_QfRQAVHdzdCF3mV,5, ,1, ,2,6,53,White,2, ,v,contagio,5,7,7,4,0
R_1HqW8fnSTab6lzH,3, ,1, ,4,5,53,white,2, ,v,partial,1,6,5,4,3
R_2aCAnsAJd62coVQ,3, ,1, ,4,6,53,Hispanic,2, ,v,partial,7,7,7,5,0
R_1HpDwQLNk0aNkoU,2, ,1, ,2,6,53,white,2,enjoyed helping with your research.,v,partial,7,7,7,5,0
R_2DS7IuEidA3Mvfg,3, ,1, ,5,1,53,Black,2, ,v,partial,4,6,7,6,0
R_1GN3PijPiYDgSGG,7, ,1, ,4,6,53,Caucasian,2,No,v,temporar,2,5,6,2,1
R_21j0gf0GnsPPYgv,2, ,1, ,6,3,52,white,2,no,p,isolate,3,2,2,4,5
R_3NOrtX1te8w0WhI,7, ,1, ,7,1,52,white,2,not right now,p,partial,5,5,3,4,5
R_2cnsafAqZPWK5sB,7, ,1, ,3,1,52,white,2, ,p,temporar,7,0,3,2,7
R_2S0Ta7ceQ1mf3dE,3, ,1, ,3,4,52,white,2,None,p,complete,5,4,0,1,4
R_3nGTXDj8CodjPmo,3, ,1, ,4,6,52,white,2,no,v,continuo,1,4,1,3,0
R_2Qh8MVKCNi6IGcu,3, ,1, ,6,2,52,hispanic,2, ,v,continuo,7,7,7,1,0
R_Oe8d6mkzZWlnF2p,6, ,1, ,7,5,52,White,2, ,v,isolate,0,5,4,5,0
R_3qy4VYQNpSfHQWh,4, ,1, ,7,1,52,white,2,victim blaming is not cool,v,isolate,0,7,7,5,0
R_2rITJ6OowRxJSO5,3, ,1, ,4,5,52,White,2,No,v,partial,5,6,7,5,0
R_31ykW81MTbQJLjE,4, ,1, ,6,4,51,white/European,2,interesting--thanks!,p,continuo,4,4,1,2,7
R_2sRe6kYOkKIsnSm,4, ,1, ,1,7,51,WHITE,2,NO,p,contagio,0,0,0,3,7
R_2sYD4uB3y8YPhaV,3, ,1, ,1,7,51,USA,2, ,p,contagio,5,4,0,1,4
R_oXfCB69jUIohMvn,3, ,1, ,7,1,51,caucasian,2,no,p,isolate,0,3,0,7,7
R_2dGxNfzsDMDa874,5, ,1, ,2,6,51,caucasian,2,No,p,isolate,1,6,1,4,6
R_1cY4qXcCUvsn8Yg,3, ,1, ,4,6,51,White American,2, ,p,partial,4,1,1,4,7
R_1ISl8ZrO5lJSAiY,3, ,1, ,4,1,51,White,2,no,p,partial,3,0,0,2,7
R_2fjtudTO79KAFKj,5, ,1, ,6,2,51,Caucasian,2, ,p,temporar,0,0,0,5,6
R_2Pz2t2RtYCxQtqW,2, ,1, ,5,3,51,hispanic,2, ,p,complete,3,3,0,4,6
